"","Cell type","Expression level"
"1","RIR",336.841
"2","ASH",302.413
"3","RIA",211.9
"4","FLP",202.092
"5","ADA",196.293
"6","PDB",193.293
"7","RMF",180.855
"8","BAG",167.784
"9","VC",158.137
"10","AWB",147.69
"11","HSN",146.985
"12","RMG",146.498
"13","AIN",144.178
"14","ASJ",142.673
"15","URA",137.244
"16","VC_4_5",118.637
"17","SIA",107.776
"18","RIF",89.792
"19","BDU",88.948
"20","OLL",88.615
"21","PQR",85.713
"22","AUA",79.572
"23","RID",71.957
"24","AVA",67.119
"25","IL2_LR",66.625
"26","SIB",63.717
"27","PHA",63.415
"28","AWC_ON",63.364
"29","AIA",63.119
"30","AIM",62.43
"31","PVT",59.578
"32","PHC",58.875
"33","RMD_LR",57.325
"34","MC",51.734
"35","ASER",49.996
"36","RME_DV",48.413
"37","PVC",44.897
"38","AIZ",44.223
"39","RIH",43.675
"40","RIC",43.325
"41","LUA",41.103
"42","SMD",40.687
"43","CAN",39.303
"44","SAA",37.271
"45","IL2_DV",37.258
"46","DB01",36.391
"47","PVW",35.873
"48","RMH",34.102
"49","VB01",33.374
"50","AVB",28.99
"51","M2",28.839
"52","ADL",28.631
"53","M1",27.917
"54","AWC_OFF",27.158
"55","PHB",23.766
"56","RIS",21.849
"57","PLN",20.69
"58","PVP",19.601
"59","URX",17.23
"60","URB",16.716
"61","AIB",14.202
"62","AVD",13.977
"63","AIY",13.521
"64","AWA",10.314
"65","ALA",8.296
"66","VB02",8.082
"67","ASG",7.591
"68","PVM",3.459
"69","AQR",2.921
